Date,Open,High,Low,Close,Adj Close,Volume
2014-07-18,54.794998,55.4725,54.73,55.049999,52.399284,11068000
2014-07-21,54.8825,55.032501,54.627499,54.805,52.166077,6168400
2014-07-22,55.23,55.647498999999996,55.1525,55.314999,52.651524,7699200
2014-07-23,55.372501,55.634997999999996,55.169998,55.299999,52.63724499999999,8189200
2014-07-24,55.8475,55.962502,55.4575,55.685001,53.003707999999996,11947600
2014-07-25,53.525002,54.174999,52.834998999999996,53.692501,51.107151,27530400
2014-07-28,53.605,53.740002000000004,53.279999,53.555,50.976273,10401600
2014-07-29,53.599998,53.927502000000004,53.3325,53.375,50.804935,10577200
2014-07-30,53.372501,53.697497999999996,53.362499,53.514998999999996,50.938194,10422800
2014-07-31,53.317501,53.34,52.752499,52.752499,50.21241,13874000
2014-08-01,52.467499,53.264998999999996,52.445,52.952498999999996,50.402771,14100000
2014-08-04,53.212502,53.2925,52.880001,53.040001000000004,50.486065,8079600
2014-08-05,52.875,53.0975,52.2925,52.634997999999996,50.100571,11151200
2014-08-06,52.494999,52.845001,52.452498999999996,52.672501000000004,50.136261,7528400
2014-08-07,52.794998,52.862499,52.150002,52.259997999999996,49.743629,9568000
2014-08-08,52.220001,52.637501,52.052502000000004,52.615002000000004,50.081534999999995,9256800
2014-08-11,52.759997999999996,52.805,52.5075,52.645,50.110092,9018400
2014-08-12,52.522498999999996,52.799999,52.362499,52.575001,50.043457000000004,6442000
2014-08-13,52.737499,53.025002,52.615002000000004,52.857498,50.698074,6451200
2014-08-14,53.022498999999996,53.147498999999996,52.827498999999996,53.130001,50.959441999999996,7136800
2014-08-15,53.2225,53.330002,52.482498,52.547501000000004,50.400738,8999600
2014-08-18,52.872501,53.607498,52.817501,53.580002,51.391064,8352400
2014-08-19,53.6875,53.922501000000004,53.532501,53.75,51.554111,8212400
2014-08-20,53.645,54.110001000000004,53.607498,54.049999,51.841858,7296800
2014-08-21,54.125,54.2425,53.927502000000004,53.9375,51.733955,5544000
2014-08-22,54.049999,54.237499,53.825001,54.022498999999996,51.815475,7145600
2014-08-25,54.299999,54.330002,53.962502,54.005001,51.798695,4962400
2014-08-26,54.122501,54.5,54.044998,54.182499,51.968941,6944000
2014-08-27,54.279999,54.3825,53.822497999999996,54.282501,52.064861,8035600
2014-08-28,53.75,53.935001,53.442501,53.650002,51.458199,11083600
2014-08-29,53.639998999999996,53.75,53.025002,53.130001,50.959441999999996,14646000
2014-09-02,53.352501000000004,53.7425,53.177502000000004,53.682499,51.489368,8066400
2014-09-03,53.767502,54.040001000000004,53.577498999999996,53.724998,51.530132,7788400
2014-09-04,53.860001000000004,54.029999,53.5,53.564999,51.376671,9492400
2014-09-05,53.59,53.592499,53.275002,53.552502000000004,51.364689,8202800
2014-09-08,53.502499,54.055,53.375,53.942501,51.738747,10266400
2014-09-09,53.822497999999996,53.8675,53.5,53.57,51.381474,7328800
2014-09-10,53.517502,54.662498,53.509997999999996,54.220001,52.004913,12646800
2014-09-11,54.174999,54.1875,53.612499,53.737499,51.54213,8861200
2014-09-12,53.720001,53.9375,53.1875,53.509997999999996,51.323925,8710800
2014-09-15,53.462502,53.9025,53.462502,53.66,51.467789,7036800
2014-09-16,53.727501000000004,54.445,53.412498,54.325001,52.105629,9211600
2014-09-17,54.25,54.372501,53.424999,53.8825,51.681206,12321200
2014-09-18,53.982498,54.169998,53.787498,54.110001000000004,51.899409999999996,9215200
2014-09-19,54.422501000000004,54.537498,53.872501,54.0625,51.853840000000005,20475200
2014-09-22,54.244999,54.244999,53.4375,53.470001,51.285553,9074000
2014-09-23,53.474998,53.474998,53.115002000000004,53.115002000000004,50.945053,7959600
2014-09-24,53.195,53.75,53.0625,53.602501000000004,51.41264,8336000
2014-09-25,53.509997999999996,53.567501,52.605,52.677502000000004,50.52544,11729600
2014-09-26,52.862499,53.055,52.639998999999996,52.985001000000004,50.820366,7178800
2014-09-29,52.552502000000004,52.865002000000004,52.279999,52.732498,50.578175,8788800
2014-09-30,52.7925,53.505001,52.755001,53.342499,51.163258,11456000
2014-10-01,53.212502,53.452498999999996,52.4375,52.502499,50.357582,11686000
2014-10-02,52.25,52.5,51.950001,52.43,50.288036,11411600
2014-10-03,52.7575,53.075001,52.544998,52.997501,50.832359000000004,9960800
2014-10-06,53.147498999999996,53.287498,52.915001000000004,52.947497999999996,50.784397,8937200
2014-10-07,52.702498999999996,52.772498999999996,51.962502,52.012501,49.887596,8949600
2014-10-08,52.0075,53.134997999999996,51.924999,53.09,50.921082,14038800
2014-10-09,53.052502000000004,53.052502000000004,51.895,51.927502000000004,49.806065000000004,10996800
2014-10-10,51.9725,52.392502,51.244999,51.244999,49.151447,11744400
2014-10-13,51.125,51.9375,50.93,51.07,48.983596999999996,12188800
2014-10-14,51.102501000000004,51.474998,50.610001000000004,50.68,48.609535,14018000
2014-10-15,50.215,50.4925,49.237499,50.0625,48.017265,19668000
2014-10-16,49.272498999999996,50.802502000000004,48.797501000000004,50.75,48.676666,15625600
2014-10-17,51.209998999999996,51.642502,50.892502,51.5,49.396029999999996,12731600
2014-10-20,51.3825,52.049999,51.285,51.962502,49.839645000000004,7628000
2014-10-21,52.445,53.345001,51.974998,53.327498999999996,51.148876,12986000
2014-10-22,53.322497999999996,53.487499,52.692501,52.73,50.575783,11042000
2014-10-23,53.467499,53.974998,53.169998,53.57,51.381474,9729600
2014-10-24,53.407501,53.537498,52.965,53.369999,51.189632,10896000
2014-10-27,53.264998999999996,53.682499,53.052502000000004,53.352501000000004,51.172852,6658800
2014-10-28,53.6525,54.215,53.514998999999996,54.177502000000004,51.964146,10497600
2014-10-29,54.077498999999996,54.599998,53.4375,53.665001000000004,51.472588,16095200
2014-10-30,57.1325,59.82,57.005001,59.162498,56.745495,50857600
2014-10-31,59.322497999999996,60.625,59.322497999999996,60.357498,57.89167,24956000
2014-11-03,60.244999,60.799999,59.75,60.384997999999996,57.918048999999996,12716000
2014-11-04,59.912498,60.752499,59.775002,60.7425,58.260941,16644400
2014-11-05,61.040001000000004,63.084998999999996,61.0,62.3825,59.83394200000001,21939600
2014-11-06,62.377499,62.724998,61.884997999999996,62.522498999999996,59.968231,13212000
2014-11-07,62.529999,63.107498,62.259997999999996,63.107498,60.529324,9507600
2014-11-10,62.994999,63.099998,62.1325,62.552502000000004,59.996998,13145200
2014-11-11,62.294998,62.470001,62.040001000000004,62.432499,59.881901,8467600
2014-11-12,62.212502,63.040001000000004,62.084998999999996,62.987499,60.882309,10897200
2014-11-13,63.099998,63.099998,62.397498999999996,62.73,60.633415,12473200
2014-11-14,62.785,62.790001000000004,62.182499,62.209998999999996,60.13079499999999,8532800
2014-11-17,62.145,62.857498,62.040001000000004,62.450001,60.362778000000006,9876800
2014-11-18,62.447497999999996,62.932499,62.267502,62.432499,60.345852,7647200
2014-11-19,62.557499,62.7075,61.797501000000004,62.465,60.377277,6642800
2014-11-20,61.8825,62.9725,61.877499,62.9175,60.814655,6704000
2014-11-21,63.785,64.139999,63.205002,63.555,61.430843,11886800
2014-11-24,63.75,63.8125,63.400002,63.654999,61.527489,10724800
2014-11-25,63.84,64.5,63.705002,64.315002,62.165459,12966400
2014-11-26,64.370003,64.737503,63.900002,64.315002,62.165459,7977200
2014-11-28,64.644997,64.875,64.474998,64.547501,62.390167000000005,5186800
2014-12-01,64.067497,65.162498,64.067497,64.537498,62.38049300000001,10925600
2014-12-02,64.792503,65.0625,64.557503,65.002502,62.829964000000004,8535200
2014-12-03,64.910004,65.470001,64.672501,65.400002,63.214180000000006,9382000
2014-12-04,65.519997,65.5625,65.012497,65.285004,63.103019999999994,7362400
2014-12-05,65.410004,65.872498,65.25,65.837502,63.637062,7838000
2014-12-08,65.875,66.407501,65.629997,65.775002,63.57664499999999,12342000
2014-12-09,64.875,66.182503,64.875,66.035004,63.82795,10454000
2014-12-10,65.945,66.209999,65.25,65.43,63.243176,8528000
2014-12-11,65.737503,66.394997,65.627502,65.779999,63.581478000000004,13383600
2014-12-12,65.1325,66.112503,64.195,64.195,62.04945,15325600
2014-12-15,64.542503,64.712502,63.272498999999996,64.175003,62.030125,12825200
2014-12-16,63.23,64.612503,63.087502,63.352501000000004,61.235115,12050400
2014-12-17,63.529999,64.889999,63.424999,64.769997,62.605231999999994,9714400
2014-12-18,65.459999,66.112503,65.285004,66.040001,63.832783,10318000
2014-12-19,65.839996,66.144997,65.345001,65.417503,63.231097999999996,15563600
2014-12-22,65.605003,66.077499,65.5075,66.052498,63.844871999999995,5680000
2014-12-23,66.252502,66.605003,66.014999,66.315002,64.098602,5537600
2014-12-24,66.372498,67.212502,66.345001,66.907501,64.67130300000001,5236800
2014-12-26,66.907501,67.33000200000001,66.654999,66.654999,64.427231,4768800
2014-12-29,66.620003,66.925003,66.262497,66.35749799999999,64.13967099999999,5262400
2014-12-30,66.275002,66.345001,65.769997,66.137497,63.927017000000006,4781600
2014-12-31,66.370003,66.8125,65.54499799999999,65.550003,63.359165000000004,1508100
2015-01-02,65.845001,66.6875,65.622498,66.254997,64.040596,2097400
2015-01-05,65.872498,65.875,64.717499,64.792503,62.626994999999994,3187800
2015-01-06,64.947502,65.195,63.715,64.375,62.223442000000006,2767500
2015-01-07,64.610001,65.285004,64.362503,65.237503,63.057117000000005,2336700
2015-01-08,65.800003,66.279999,65.657501,66.112503,63.902866,2610800
2015-01-09,65.902496,66.1175,64.942497,65.1325,62.955619999999996,2627300
2015-01-12,65.260002,65.5,64.785004,65.004997,62.832378000000006,1597600
2015-01-13,65.504997,66.452499,64.777496,65.195,63.016029,2563800
2015-01-14,64.160004,64.650002,63.529999,63.889998999999996,61.754645999999994,3056300
2015-01-15,64.177498,64.3675,63.09,63.282501,61.167442,2642300
2015-01-16,62.974998,63.775002,62.875,63.737499,61.607243000000004,2784300
2015-01-20,64.055,64.922501,63.564999,64.209999,62.063945999999994,3733300
2015-01-21,64.040001,64.907501,63.625,64.32,62.170260999999996,2446000
2015-01-22,63.862499,64.75,63.342499,64.400002,62.247601,2891500
2015-01-23,64.629997,65.162498,64.54499799999999,64.572502,62.414336999999996,1525600
2015-01-26,64.235001,64.322502,63.450001,64.1325,61.98904,2138100
2015-01-27,63.447497999999996,63.447497999999996,62.145,62.747501,60.650326,2756900
2015-01-28,63.1325,63.252499,61.575001,61.59,59.531521,2857700
2015-01-29,61.8825,62.200001,61.2925,62.0,59.927818,3917100
2015-01-30,65.099998,65.904999,63.727501000000004,63.727501000000004,61.597576000000004,5537900
2015-02-02,64.077499,64.077499,62.424999,63.834998999999996,61.701488,3416300
2015-02-03,64.177498,65.112503,63.685001,64.947502,62.776793999999995,3765700
2015-02-04,64.897499,66.682503,64.775002,66.222504,64.00919300000001,5542700
2015-02-05,66.8125,67.949997,66.474998,67.949997,65.67894,4141400
2015-02-06,67.9375,68.112503,66.510002,66.855003,64.62056,2790600
2015-02-09,66.852501,67.084999,66.32,66.364998,64.146927,1958600
2015-02-10,66.6875,66.967499,65.907501,66.137497,63.927017000000006,2349200
2015-02-11,66.245003,66.574997,66.0625,66.497498,64.744896,2198900
2015-02-12,66.904999,67.727501,66.764999,67.727501,65.942474,2910400
2015-02-13,68.1875,68.1875,67.195,67.407501,65.630905,2119000
2015-02-17,67.870003,67.997498,67.467499,67.717499,65.932732,1702600
2015-02-18,67.717499,67.75,67.037498,67.279999,65.50676700000001,1603200
2015-02-19,67.51750200000001,67.51750200000001,67.0,67.275002,65.5019,1413700
2015-02-20,67.260002,68.25,66.764999,68.25,66.45118000000001,2258700
2015-02-23,68.239998,68.33000200000001,67.5625,68.252502,66.453636,1663700
2015-02-24,68.452499,68.452499,67.792503,68.1175,66.322189,2261300
2015-02-25,67.815002,68.557503,67.815002,68.252502,66.453636,1710700
2015-02-26,68.300003,68.625,68.004997,68.4375,66.633751,3364900
2015-02-27,68.3675,68.547501,67.827499,67.827499,66.039833,1991300
2015-03-02,69.177498,69.572502,68.610001,69.572502,67.738838,2913400
2015-03-03,69.662498,69.662498,68.375,68.824997,67.011032,2201800
2015-03-04,68.787498,68.787498,68.0625,68.4375,66.633751,1998200
2015-03-05,68.75,68.785004,68.4375,68.532501,66.72625699999999,1689000
2015-03-06,68.349998,68.620003,67.3125,67.334999,65.56031800000001,2897700
2015-03-09,67.629997,68.052498,67.269997,67.855003,66.066612,2225500
2015-03-10,67.410004,67.464996,66.300003,66.300003,64.55259699999999,2755200
2015-03-11,66.407501,66.845001,65.762497,66.1875,64.443069,3026300
2015-03-12,66.599998,67.5,66.574997,67.394997,65.618721,2382700
2015-03-13,67.209999,67.209999,66.125,66.2575,64.511215,3144700
2015-03-16,66.722504,67.512497,66.657501,67.254997,65.48243000000001,2462400
2015-03-17,67.014999,67.089996,66.035004,66.125,64.382202,3066000
2015-03-18,66.022499,66.995003,64.752502,66.917503,65.153824,12264500
2015-03-19,66.83000200000001,67.190002,65.75,66.809998,65.04915600000001,15407500
2015-03-20,67.25,67.699997,66.779999,67.410004,65.63333100000001,15372000
2015-03-23,68.029999,68.209999,67.07,67.08000200000001,65.312042,8117600
